415442	Teleogryllus emma	Emma Field Cricket
41562	Balaenoptera physalus	Fin Whale
41566	Megaptera novaeangliae	Humpback Whale
41570	Eubalaena glacialis	North Atlantic Right Whale
41571	Eubalaena australis	Southern Right Whale
41638	Ursus americanus	American Black Bear
41663	Procyon lotor	Common Raccoon
41670	Nasua nasua	South American Coati
41673	Nasua narica	White-nosed Coati
41676	Bassariscus astutus	Ringtail
41678	Potos flavus	Kinkajou
41702	Pagophilus groenlandicus	Harp Seal
41708	Phoca vitulina	Harbor Seal
41720	Erignathus barbatus	Bearded Seal
41728	Mirounga angustirostris	Northern Elephant Seal
41729	Mirounga leonina	Southern Elephant Seal
41731	Leptonychotes weddellii	Weddell Seal
41733	Halichoerus grypus	Grey Seal
41740	Zalophus californianus	California Sea Lion
41755	Eumetopias jubatus	Steller Sea Lion
41757	Callorhinus ursinus	Northern Fur Seal
41774	Eira barbara	Tayra
41777	Lontra canadensis	North American River Otter
41796	Martes martes	Eurasian Pine Marten
41800	Martes foina	Stone Marten
41845	Pteronura brasiliensis	Giant Otter
41850	Lutra lutra	Eurasian Otter
41860	Enhydra lutris	Sea Otter
41886	Crocuta crocuta	Spotted Hyena
41964	Panthera leo	Lion
41970	Panthera onca	Jaguar
41974	Lynx canadensis	Canada Lynx
41976	Lynx rufus	Bobcat
41979	Lynx lynx	Eurasian Lynx
42007	Puma concolor	Mountain Lion
42048	Canis lupus	Gray Wolf
42051	Canis latrans	Coyote
42069	Vulpes vulpes	Red Fox
42076	Urocyon cinereoargenteus	Gray Fox
42087	Cerdocyon thous	Crab-eating Fox
42091	Chrysocyon brachyurus	Maned Wolf
42113	Pecari tajacu	Collared Peccary
42115	Tayassu pecari	White-lipped Peccary
42134	Sus scrofa	Wild Boar
42149	Hippopotamus amphibius	Common Hippopotamus
42161	Dama dama	European Fallow Deer
42166	Axis axis	Chital
42183	Capreolus pygargus	Eastern Roe Deer
42184	Capreolus capreolus	Western Roe Deer
42186	Muntiacus muntjak	Southern Red Muntjac
42187	Muntiacus reevesi	Reeves's Muntjac
42193	Hydropotes inermis	Water Deer
42199	Rangifer tarandus	Caribou
42210	Cervus nippon	Sika Deer
42220	Odocoileus hemionus	Mule Deer
42223	Odocoileus virginianus	White-tailed Deer
42278	Aepyceros melampus	Impala
42280	Connochaetes taurinus	Common Wildebeest
42347	Rupicapra rupicapra	Northern Chamois
423693	Tettigonia cantans	Upland Green Bush-cricket
42408	Bison bison	American Bison
424147	Hyla arborea	European Tree Frog
424371	Ephippiger diurnus	Western Saddle Bush-cricket
42652	Didelphis virginiana	Virginia Opossum
42729	Petaurus australis	Yellow-bellied Glider
42775	Pseudocheirus peregrinus	Common Ring-tailed Possum
42808	Trichosurus vulpecula	Common Brushtail Possum
42888	Macropus giganteus	Eastern Grey Kangaroo
429727	Gampsocleis ussuriensis	Gampsocleis ussuriensis
42983	Phascolarctos cinereus	Koala
43042	Erinaceus europaeus	Common Hedgehog
43048	Erinaceus roumanicus	Northern White-breasted Hedgehog
43086	Procavia capensis	Rock Hyrax
43092	Dendrohyrax arboreus	Southern Tree Hyrax
43093	Dendrohyrax dorsalis	Western Tree Hyrax
43175	Ochotona pusilla	Steppe Pika
43188	Ochotona princeps	American Pika
43197	Ochotona collaris	Collared Pika
433701	Gampsocleis glabra	Steppe Spiny Bush-cricket
43372	Callithrix geoffroyi	Geoffroy’s Tufted-ear Marmoset
43373	Callithrix jacchus	Common Marmoset
43374	Callithrix penicillata	Black-tufted-ear Marmoset
43375	Callithrix aurita	Buffy-tufted-ear Marmoset
43385	Saguinus leucopus	Silvery-brown Tamarin
43386	Saguinus nigricollis	Black-mantled Tamarin
43387	Saguinus midas	Golden-handed Tamarin
43391	Saguinus oedipus	Cotton-headed Tamarin
43406	Ateles belzebuth	White-bellied Spider Monkey
43408	Ateles paniscus	Guiana Spider Monkey
43410	Ateles chamek	Black-faced Black Spider Monkey
43411	Ateles geoffroyi	Central American Spider Monkey
43428	Saimiri sciureus	Common Squirrel Monkey
43432	Cebus capucinus	Colombian White-throated Capuchin
43435	Alouatta caraya	Black-and-gold Howler Monkey
